model,rmse_test,r2_test,rmse_val,r2_val,fit_seconds,best_params
rf,0.021830429894455893,0.9999965817857399,0.024373467737265123,0.9999959936651834,63.27,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 500}"
gbr,0.030176719191718195,0.9999934684125099,0.03174256737896985,0.9999932048868047,33.43,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500}"
mlp,0.11212210513857249,0.9999098310127479,0.10235505096866408,0.999929346911157,132.42,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (100, 50), 'model__learning_rate_init': 0.001}"
svr,0.12191607524155684,0.9998933903170043,0.11422143119546141,0.9999120151717406,49.22,"{'model__C': 10, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'}"
linreg,1.9107115994445818,0.9738142519087712,1.9352834018728544,0.9747418382995199,0.03,{}
