Pressure (bar)
29.4
40.9
36.0
36.5
40.4
38.8
37.4
39.5
39.0
37.9
39.2
38.3
41.3
10.8
38.0
11.9
38.8
39.1
38.8
39.0
38.8
38.9
39.9
40.4
39.8
40.3
0.7
16.1
40.9
40.4
40.4
39.7
39.0
5.4
39.5
41.2
39.1
40.2
39.2
39.2
39.1
0.8
40.3
41.3
39.3
39.2
39.5
40.4
39.0
38.8
1.7
39.0
40.6
39.2
40.9
41.2
38.7
38.8
38.9
40.2
39.2
39.2
41.3
39.0
39.0
38.9
36.1
41.3
40.6
39.2
39.2
0.7
36.4
36.8
41.2
38.6
37.8
41.3
38.8
39.0
39.0
39.0
40.7
40.3
41.2
39.7
31.9
39.0
38.7
6.5
39.0
38.8
39.3
38.8
41.2
38.2
37.5
39.5
40.4
38.6
15.3
14.1
39.2
39.5
39.0
38.8
39.0
7.7
39.0
36.6
39.5
2.5
39.0
0.8
39.5
39.0
39.0
39.5
39.3
39.0
1.9
38.8
40.9
39.5
8.7
38.8
39.2
40.7
40.4
39.0
40.7
38.9
38.7
39.5
41.3
39.1
20.6
38.6
39.5
39.0
38.8
38.9
12.6
39.2
39.0
38.4
39.0
40.8
36.0
39.0
41.3
40.8
16.3
39.0
38.9
39.2
39.8
40.4
36.0
40.4
39.0
38.8
38.7
39.0
41.1
15.0
41.2
38.0
38.9
41.1
38.8
41.1
38.8
38.2
41.0
38.8
39.0
40.1
38.8
40.2
40.7
38.8
39.3
15.6
39.5
23.0
39.0
38.4
40.4
39.1
39.2
38.9
39.0
41.2
38.8
39.2
38.1
41.3
39.0
37.3
39.1
41.2
38.8
41.3
1.6
40.9
40.5
38.3
39.7
0.7
9.3
38.9
40.8
37.8
3.9
24.8
37.6
41.2
9.7
2.4
39.0
39.0
38.8
7.8
37.9
40.7
2.1
39.2
38.8
0.8
39.8
16.8
39.5
11.6
40.0
39.3
39.5
39.0
41.2
38.8
38.9
39.0
39.5
39.6
39.4
27.3
40.3
39.0
38.8
38.8
38.9
41.3
21.0
38.8
39.9
39.3
40.9
40.4
7.4
18.5
40.4
5.0
38.8
37.2
29.0
38.7
41.1
40.6
39.0
40.4
11.4
39.2
40.4
41.1
41.2
39.0
4.3
39.0
39.2
38.9
41.3
39.2
38.8
39.3
39.2
40.4
39.2
38.7
39.0
41.0
41.3
39.2
39.2
37.8
39.0
38.9
39.0
37.4
38.9
39.0
40.7
40.4
39.5
39.4
38.8
39.0
39.2
38.8
38.9
36.8
39.0
38.6
40.2
38.8
40.1
39.0
40.4
38.9
39.0
36.1
40.7
37.7
40.5
36.3
38.9
36.0
0.7
38.8
41.3
5.3
4.0
39.0
39.4
39.6
40.9
0.9
40.1
38.8
36.0
15.6
38.9
39.3
38.8
39.0
38.8
38.9
16.8
2.5
1.2
39.5
38.1
1.4
39.0
38.9
7.8
39.8
39.0
39.5
38.8
39.5
38.9
39.5
38.2
40.3
39.2
36.0
39.1
15.5
39.0
39.2
39.2
38.9
38.9
4.2
1.9
13.6
17.5
1.8
32.8
39.0
36.4
40.9
38.9
36.4
15.9
39.0
40.5
40.8
40.3
39.2
39.0
38.8
39.5
39.7
39.7
39.5
40.6
28.3
39.5
38.8
39.6
39.0
39.0
39.0
37.1
17.0
39.5
38.7
39.5
39.1
38.0
38.9
40.5
40.1
41.2
37.8
39.0
36.9
39.0
40.9
38.9
4.7
38.9
39.5
39.2
17.7
41.2
41.2
38.9
39.2
40.5
39.2
38.8
40.2
38.7
38.7
14.1
39.0
41.3
39.3
0.9
40.8
40.4
39.0
40.8
39.7
41.0
2.2
36.2
41.0
7.2
39.9
41.1
40.9
40.8
40.6
39.5
38.8
39.9
0.7
40.1
41.2
36.9
24.1
4.3
39.0
1.0
38.8
38.8
38.6
39.7
38.9
13.4
39.6
39.0
39.0
11.8
36.0
39.0
1.3
38.4
38.8
38.4
14.1
39.3
5.6
39.3
41.2
39.5
3.9
38.9
39.9
39.0
40.2
39.8
40.5
40.4
41.1
39.9
38.9
38.9
7.0
39.0
38.8
41.0
8.6
40.9
38.9
39.5
38.9
37.9
39.7
41.3
41.3
39.5
38.8
39.2
40.8
0.7
39.5
38.8
40.3
38.8
2.1
0.7
8.3
36.7
40.8
39.5
38.8
39.0
39.4
37.0
0.8
39.0
1.4
39.4
40.1
39.0
36.2
27.8
40.2
39.0
36.9
3.6
38.9
41.0
41.3
37.9
14.8
40.3
39.0
36.0
18.0
28.9
4.1
39.0
38.9
39.0
16.3
7.4
39.0
41.2
41.1
38.8
3.0
39.0
1.5
40.1
39.9
40.5
39.0
28.0
40.9
40.7
39.0
38.9
39.5
41.2
22.7
7.8
37.9
38.8
3.1
38.8
15.5
25.6
39.2
38.9
5.2
38.9
0.7
38.7
39.2
38.9
39.0
38.8
39.0
39.3
38.8
21.7
10.0
40.1
40.2
39.2
39.2
39.3
40.5
28.7
36.1
38.9
4.5
18.1
39.0
39.7
39.2
41.1
13.5
36.0
39.0
39.6
41.1
38.8
39.9
40.6
38.8
40.4
40.1
39.7
39.7
40.5
40.3
39.3
38.9
40.1
39.6
39.2
39.2
39.2
41.2
0.8
39.2
40.9
39.0
39.0
36.6
41.3
39.6
41.3
39.0
39.5
19.7
39.0
40.1
39.0
36.0
39.0
16.0
39.7
39.5
40.5
39.2
36.0
39.7
40.5
40.1
41.2
38.8
5.4
41.0
38.9
38.8
40.9
5.2
38.9
38.9
39.0
39.0
39.8
40.4
38.8
41.3
39.0
39.2
24.6
6.8
41.0
39.0
3.9
39.2
38.8
39.0
7.9
34.4
39.2
38.2
24.0
39.2
39.2
36.5
38.9
41.1
41.3
40.4
40.5
38.8
37.5
38.8
41.0
0.8
12.3
41.2
39.0
41.2
1.1
1.7
39.2
40.8
41.3
31.4
41.1
39.5
40.5
39.6
30.9
38.9
38.8
38.8
38.8
38.6
36.8
39.4
39.3
36.4
40.0
41.1
36.9
38.9
40.7
25.0
27.0
39.0
39.0
41.1
39.0
39.5
41.2
39.5
39.2
40.9
41.2
40.7
38.9
36.0
39.7
40.6
36.1
26.2
2.5
39.2
36.0
41.2
3.2
39.0
38.0
37.8
38.8
38.8
41.2
39.5
39.1
36.0
16.2
11.1
39.1
0.8
40.3
39.5
38.8
40.4
39.0
37.4
41.1
40.1
39.2
39.0
38.9
40.8
38.9
8.0
7.2
40.7
40.5
36.0
39.0
40.2
39.0
4.5
39.0
39.0
38.8
38.8
38.8
37.6
39.0
38.9
39.0
39.7
39.0
36.0
39.5
41.2
40.3
38.9
41.3
40.8
41.0
39.6
39.0
40.4
21.2
39.7
38.9
40.5
38.8
40.4
40.3
36.6
5.9
40.4
41.3
39.5
40.4
40.9
1.9
39.0
41.3
39.5
39.5
39.2
37.5
39.2
14.6
39.0
39.9
39.5
38.7
40.7
8.9
3.7
4.4
37.0
40.2
40.4
10.9
39.2
39.3
40.1
0.7
39.0
39.5
38.4
40.5
38.8
4.5
33.4
33.7
41.0
40.3
40.0
41.3
38.6
39.5
38.8
1.0
4.3
38.7
39.0
39.1
41.3
14.7
38.8
40.9
38.8
39.0
36.0
39.0
39.0
39.0
39.1
38.9
40.2
39.9
39.1
38.2
