Pressure (bar)
19
"39,3"
"0,7"
"3,3"
"14,5"
"36,6"
"40,1"
""
"41,1"
"40,2"
"40,4"
"7,6"
"0,9"
""
"38,6"
"39,2"
"39,5"
""
"40,3"
39
39
"38,9"
"40,2"
"41,2"
39
"39,2"
"38,4"
"38,5"
"40,8"
"40,9"
"41,3"
39
1
39
"38,9"
"38,8"
36
"15,7"
"40,6"
"39,1"
"40,6"
"41,3"
"41,2"
"13,5"
"40,2"
"2,1"
"40,7"
"37,3"
"5,7"
"20,4"
"4,5"
"14,4"
"36,5"
"36,7"
"39,5"
"38,9"
"40,1"
"1,5"
"38,8"
""
"38,8"
"40,5"
"39,2"
41
""
"37,5"
"16,8"
"39,2"
"39,2"
"38,8"
39
"41,3"
"16,8"
"38,4"
"39,5"
"22,8"
""
"39,3"
"0,7"
39
"41,3"
""
"41,1"
"36,6"
"41,3"
"40,3"
"39,5"
41
"38,1"
39
"39,1"
"5,5"
"39,4"
"40,7"
"3,1"
"39,2"
"38,8"
"38,8"
"39,5"
"38,9"
"2,3"
"38,8"
"1,4"
39
"38,7"
"2,1"
"39,2"
"7,7"
"38,8"
"39,4"
"38,8"
""
"38,8"
"38,7"
"1,3"
"39,5"
"40,7"
40
"2,7"
"39,3"
"40,7"
"38,8"
"37,9"
"38,8"
"5,4"
"38,8"
"39,6"
"38,9"
"38,7"
"38,9"
"38,8"
39
"38,9"
"38,9"
"38,8"
"41,1"
"40,9"
"36,6"
"41,2"
"40,8"
"38,7"
"6,4"
"38,4"
41
"21,2"
"40,4"
"0,7"
"38,8"
"38,9"
31
"40,7"
"38,7"
"11,3"
"36,5"
"38,8"
""
"40,8"
"36,1"
"39,5"
"41,1"
"36,8"
"38,3"
"40,4"
"2,1"
"39,2"
"40,7"
""
"2,7"
"18,3"
"39,3"
""
"40,3"
"38,9"
"5,7"
"38,8"
39
"39,4"
39
"39,5"
"40,4"
"38,8"
"38,8"
"2,6"
"28,5"
"39,1"
"39,6"
"39,5"
"10,3"
37
39
"39,5"
"5,9"
"36,5"
""
"41,2"
"4,3"
39
39
"41,3"
"12,1"
"38,6"
""
"21,9"
39
39
39
"39,7"
37
"39,2"
"4,2"
36
""
"39,4"
"40,3"
"40,4"
"39,2"
"41,1"
41
"38,6"
"38,4"
"38,8"
"38,9"
"13,7"
"41,3"
"38,8"
36
"41,3"
""
"39,8"
