task,model,f1_macro,f1_macro_std,accuracy,n,cv_folds,class_counts
code:drivers:technology,logreg,0.6436268675885097,0.09206698746563499,0.9480562754535355,366,5,"{'no': 342, 'yes': 24}"
code:drivers:technology,linear_svc,0.551083522411062,0.08280187573019757,0.9398741206960386,366,5,"{'no': 342, 'yes': 24}"
code:drivers:technology,rf,0.5170705869896759,0.06766931758606555,0.9371714179933358,366,5,"{'no': 342, 'yes': 24}"
code:drivers:technology,nb,0.48304829722270537,0.0014368113589809791,0.9344316919659386,366,5,"{'no': 342, 'yes': 24}"
code:stakeholders:farmers,logreg,0.6619771292940296,0.1543026956556045,0.9399481673454277,366,5,"{'no': 338, 'yes': 28}"
code:stakeholders:farmers,linear_svc,0.6315483889114434,0.14606632463725203,0.9372084413180304,366,5,"{'no': 338, 'yes': 28}"
code:stakeholders:farmers,rf,0.567901724341662,0.11776432734373114,0.9317289892632358,366,5,"{'no': 338, 'yes': 28}"
code:stakeholders:farmers,nb,0.4801110207343351,0.0017658361585664167,0.923509811181044,366,5,"{'no': 338, 'yes': 28}"
code:stakeholders:policymakers,linear_svc,0.482319099340376,9.919158855329347e-05,0.9316919659385412,366,5,"{'no': 341, 'yes': 25}"
code:stakeholders:policymakers,nb,0.482319099340376,9.919158855329347e-05,0.9316919659385412,366,5,"{'no': 341, 'yes': 25}"
code:stakeholders:policymakers,rf,0.482319099340376,9.919158855329347e-05,0.9316919659385412,366,5,"{'no': 341, 'yes': 25}"
code:stakeholders:policymakers,logreg,0.4815794843454418,0.0015070912117157206,0.9289522399111441,366,5,"{'no': 341, 'yes': 25}"
